1,CDM GROSS CHARGE AND CASH PAY SECTION,ProcedureCode,ProcedureDescription,Lawson Number,NDC,Revenue Code,CPT Code,, Default Charge , ER Charge , Inpatient Therapy ,Cash Charge
797,27202915,27202915,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS LEFT 4.5 CURVE L125 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00923,,272,,, -   , -   , -   , -   
798,27202916,27202916,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS LEFT 5 CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00924,,272,,, -   , -   , -   , -   
799,27202920,27202920,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 3.5 CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00927,,272,,, -   , -   , -   , -   
800,27202922,27202922,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 4 CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00929,,272,,, -   , -   , -   , -   
801,27202923,27202923,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 4 CURVE L125 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00930,,272,,, -   , -   , -   , -   
802,27202924,27202924,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 4 MODIFY CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00931,,272,,, -   , -   , -   , -   
803,27202925,27202925,BIT DRILL MINI L65 MM OD1.5 MM QUICK COUPLING NONSTERILE,2950-03544,,272,,,257, -   , -   ,103
804,27202926,27202926,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 4 STRAIGHT CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00932,,272,,, -   , -   , -   , -   
805,27202927,27202927,KIT SNARE AMPLATZ GOOSENECK NITINOL TUNGSTEN PLATINUM IRIDIUM GOLD L120 CM L102,0960-00088,,272,C1773,,"1,074", -   , -   ,430
806,27202932,27202932,CATHETER DIAGNOSTIC DXTERITY INSLIDE MULTIPURPOSE A CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00937,,272,,, -   , -   , -   , -   
807,27202934,27202934,CATHETER DIAGNOSTIC DXTERITY INSLIDE MULTIPURPOSE A CURVE L110 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00938,,272,,, -   , -   , -   , -   
808,27202937,27202937,CATHETER DIAGNOSTIC DXTERITY INSLIDE MULTIPURPOSE B CURVE L100 CM OD5 FR ID.047 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00941,,272,,, -   , -   , -   , -   
809,27202943,27202943,CATHETER DIAGNOSTIC DXTERITY INSLIDE PIGTAIL 145 CURVE L110 CM OD5 FR ID.047 IN LARGE LUMEN 6 SIDEHOLE RADIOPAQUE 2 BRAID WIRE STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00946,,272,,, -   , -   , -   , -   
810,27202944,27202944,CATHETER DIAGNOSTIC DXTERITY INSLIDE PIGTAIL 155 CURVE L110 CM OD5 FR ID.047 IN LARGE LUMEN 6 SIDEHOLE RADIOPAQUE 2 BRAID WIRE STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00947,,272,,, -   , -   , -   , -   
811,27202948,27202948,CATHETER DIAGNOSTIC DXTERITY INSLIDE 3D RIGHT CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00951,,272,,, -   , -   , -   , -   
812,27202949,27202949,CATHETER DIAGNOSTIC DXTERITY INSLIDE AMPLATZ LEFT 1 CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00952,,272,,, -   , -   , -   , -   
813,27202950,27202950,CATHETER DIAGNOSTIC DXTERITY INSLIDE AMPLATZ LEFT 2 CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00953,,272,,, -   , -   , -   , -   
814,27202955,27202955,CATHETER DIAGNOSTIC DXTERITY INSLIDE INTERNAL MAMMARY ARTERY CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00958,,272,,, -   , -   , -   , -   
815,27202956,27202956,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS LEFT 3.5 CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00959,,272,,, -   , -   , -   , -   
816,27202957,27202957,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS LEFT 4 CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00960,,272,,, -   , -   , -   , -   
817,27202962,27202962,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS LEFT 5 CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00964,,272,,, -   , -   , -   , -   
818,27202966,27202966,BIT DRILL L100 MM OD1.8 MM QUICK COUPLING NONSTERILE,2950-03546,,272,,,677, -   , -   ,271
819,27202968,27202968,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 4 CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00969,,272,,, -   , -   , -   , -   
820,27202970,27202970,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 4 MODIFY CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00971,,272,,, -   , -   , -   , -   
821,27202973,27202973,CATHETER DIAGNOSTIC DXTERITY INSLIDE JUDKINS RIGHT 5 CURVE L125 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00974,,272,,, -   , -   , -   , -   
822,27202974,27202974,BIT DRILL L110 MM OD1.8 MM QUICK COUPLING DEPTH MARK NONSTERILE,0900-03596,,272,,,447, -   , -   ,179
823,27202977,27202977,CATHETER DIAGNOSTIC DXTERITY INSLIDE MULTIPURPOSE A CURVE L100 CM OD6 FR ID.056 IN LARGE LUMEN RADIOPAQUE 2 BRAID WIRE COLOR CODED HUB STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00977,,272,,, -   , -   , -   , -   
824,27202987,27202987,CATHETER DIAGNOSTIC DXTERITY INSLIDE PIGTAIL 145 CURVE L110 CM OD6 FR ID.056 IN LARGE LUMEN 6 SIDEHOLE RADIOPAQUE 2 BRAID WIRE STERILE ACCEPTS .038 IN GUIDEWIRE,2810-00986,,272,,, -   , -   , -   , -   
825,27203004,27203004,HC TRACHESTOMY TUBE-CUSTOM,,,272,,,884, -   , -   ,354
826,27203008,27203008,ADAPTER DIALYSIS SAFE-LOCK PERITONEAL CATHETER INSERTION WRENCH TYPE II SEALING,0200-00385,,272,,,317, -   , -   ,127
827,27203018,27203018,HC SALINE - PRE-FILLED SYRINGES,,,272,,,16, -   , -   ,6
828,27203042,27203042,HC HYPAFIX TAPE-ROLL,,,272,,, -   , -   , -   , -   
829,27203048,27203048,DRILL DENTAL PROFYLE L87 MM L27 MM OD1.9 MM HAND TWIST AO MODULAR SHAFT END NONS,2950-03553,,272,,,433, -   , -   ,173
830,27203055,27203055,BIT DRILL 27 MM STOP L94 MM OD1.9 MM TWIST STERILE,2950-03554,,272,,,433, -   , -   ,173
831,27203056,27203056,CATHETER GUIDING FLEXION NITINOL STEEL PTFE AXIS CURVE L80 CM OD5 FR ID.054 IN 2 STRAND RADIOPAQUE,0300-03244,,272,,,896, -   , -   ,358
832,27203058,27203058,SUTURE NONABSORBABLE STERNUM 2 WIRE,0740-01241,,272,,,"1,146", -   , -   ,458
833,27203060,27203060,CASSETTE INFUSION PUMP IMPELLA PURGE CONTROLLER,0900-11350,,272,,,651, -   , -   ,260
834,27203061,27203061,SET VENTRICULAR ASSIST IMPELLA L2.5 IN STERILE LATEX FREE DISPOSABLE,0900-11351,,272,,,"65,048", -   , -   ,"26,019"
835,27203064,27203064,CATHETER INTERVENTIONAL SWIFTNINJA 180- D L125 CM OD2.4-2.9 FR ID.021 IN STRAIGHT TIP 3D STEERING,0370-00065,,272,,,"4,554", -   , -   ,"1,822"
836,27203068,27203068,HC BAG DRN 32OZ BARD FLPFL,,,272,,, -   , -   , -   , -   
837,27203070,27203070,HOLDER LENS MONARCH ACRYSOF A CARTRIDGE STERILE DISPOSABLE IOL DELIVERY SYSTEM,0900-11382,,272,,, -   , -   , -   , -   
838,27203073,27203073,CATHETER URETHRAL BARDIA RUBBER LONG L16 IN OD8 FR RADIOPAQUE ROUND HOLLOW TIP ALL PURPOSE STERILE LATEX DISPOSABLE RED,0300-03247,,272,,, -   , -   , -   , -   
839,27203075,27203075,HC GAUZE SPONGE 3X3 STERILE-BOX,,,272,A6402,,14, -   , -   ,6
840,27203076,27203076,PROTECTOR INSTRUMENT DUOGUARD L25.4 MM X W19 MM VENT LATEX FREE RED TINT,0900-11366,,272,,, -   , -   , -   , -   
841,27203077,27203077,SOLIDIFIER FLUID MEDI-VAC CARDINAL HEALTH POLYMER 1200 CC TWIST TOP POWDER,0900-11390,,272,,, -   , -   , -   , -   
842,27203078,27203078,SPONGE LAPAROTOMY TELFA COTTON L3 IN X W1 IN PEFORATE PLIABLE HIGHLY ABSORBENT XRAY DETECTABLE,0900-11362,,272,,, -   , -   , -   , -   
843,27203079,27203079,SOLIDIFIER FLUID MEDI-VAC CARDINAL HEALTH POLYMER 2000 CC TWIST TOP POWDER,0900-11391,,272,,, -   , -   , -   , -   
844,27203081,27203081,TUBE ENDOBRONCHIAL ARNDT PEDIATRIC L50 CM OD5 FR BLOCKER SET SPHERICAL STERILE D,0200-00387,,272,,,632, -   , -   ,253
845,27203082,27203082,SOLIDIFIER FLUID 3000 CC,0900-11392,,272,,, -   , -   , -   , -   
846,27203085,27203085,SOLUTION IRRIGATION BSS 15 ML PLAIN STERILE LATEX FREE,0900-11383,,272,,, -   , -   , -   , -   
847,27203086,27203086,SYRINGE MEDICAL VACLOK POLYCARBONATE 60 ML 6 LOCK POSITION FIX MALE LUER CONNECTOR FLAT GRIP VACUUM PRESSURE WHITE,2600-00184,,272,,, -   , -   , -   , -   
848,27203087,27203087,NEEDLE SPINAL PENCAN BISPHENOL A L4 IN OD24 GA ODSEC20 GA INTRODUCER ATRAUMATIC TIP DEHP FREE PVC FREE LATEX FREE ANESTHESIA,0900-11369,,272,,, -   , -   , -   , -   
849,27203088,27203088,DRAIN INCISION SILICONE FLAT L20 CM X W10 MM RADIOPAQUE FULL PERFORATION HUBLESS STERILE LATEX FREE DISPOSABLE,0900-11409,,272,,, -   , -   , -   , -   
850,27203092,27203092,CANNULA ARTHROSCOPIC DRI-LOK L75 MM ID6.5 MM THREAD,2950-08610,,272,,, -   , -   , -   , -   
851,27203093,27203093,CANNULA ENDOSCOPIC DRI-LOK PLASTIC L75 MM ID5 MM THREAD CLEAR,2950-08614,,272,,, -   , -   , -   , -   
852,27203095,27203095,GUIDEWIRE ORTHOPEDIC OD.045 IN TROCAR TIP STERILE DISPOSABLE BIO-COMPRESSION SCREW,2950-08590,,272,,, -   , -   , -   , -   
853,27203097,27203097,BIT DRILL L10 MM CANNULATED,2950-03558,,272,,,"1,539", -   , -   ,616
854,27203098,27203098,TUBE AIRWAY MONTGOMERY SAFE-T-TUBE SILICONE 11 STANDARD TRACHEA PLUG SAFETY RING NONADHERENT STERILE 3200,0300-03249,,272,,,111, -   , -   ,44
855,27203100,27203100,FOLLOWER 12FR 13.35IN STRAIGHT TIP HEYMAN SURGICAL STERILE PLASTIC DISPOSABLE,0300-02437,,272,,,122, -   , -   ,49
856,27203103,27203103,TIP SUCTION/IRRIGATION INTREPID POLYMER CURVED IA,0900-11381,,272,,,141, -   , -   ,56
857,27203104,27203104,GUIDEWIRE VASCULAR ARROW ADVANCER J STRAIGHT L68 CM OD.025 IN SPRING SOFT LATEX FREE,0300-03248,,272,,,154, -   , -   ,62
858,27203107,27203107,TUBE ENDOBRONCHIAL ARNDT PEDIATRIC L65 CM OD7 FR BLOCKER SET STERILE LATEX FREE,0200-00368,,272,,,632, -   , -   ,253
859,27203109,27203109,HC AQUACEL DRESSING,,,272,A6196,,29, -   , -   ,12
860,27203110,27203110,NEEDLE NERVE BLOCK STIMUPLEX ULTRA 360 30 D L6 IN OD20 GA BEVEL INSULATE ECHOGENIC EXTENSION SET STERILE LATEX FREE,0900-11370,,272,,,164, -   , -   ,66
861,27203112,27203112,CLIP SURGICAL STEALTH 12 MM L12 MM ATRAUMATIC OCCLUSION FULL FORCE SOFT/FIBRA STERILE WHITE,3100-06785,,272,,,177, -   , -   ,71
862,27203114,27203114,CLIP SURGICAL STEALTH L6 MM ATRAUMATIC OCCLUSION FIBRA SPRING STERILE,3100-06786,,272,,,177, -   , -   ,71
863,27203119,27203119,CANNULA ENDOSCOPIC DRI-LOK L75 MM OD8 MM THREAD STERILE,2950-08611,,272,,,270, -   , -   ,108
864,27203122,27203122,KIT TRACTION L40 IN X W8 IN SHOULDER SUSPENSION COBAN STERILE LATEX FREE,0900-11410,,272,,,230, -   , -   ,92
865,27203125,27203125,HC ACTIVE LIFE CONVEX ONE PIECE,,,272,A4390,, -   , -   , -   , -   
866,27203126,27203126,CANNULA ARTHROSCOPIC GEMINI SR8 LOW PROFILE L9 CM ID8.25 MM SELF RETAINING SYSTEM STERILE DISPOSABLE,2950-08591,,272,,,271, -   , -   ,108
867,27203128,27203128,PASSER SUTURE NEEDLE RP 360,2950-08612,,272,,,336, -   , -   ,134
868,27203130,27203130,PACK INSTRUMENT ACL STERILE LATEX FREE DISPOSABLE,2950-08613,,272,,,376, -   , -   ,150
869,27203131,27203131,LINE MONITOR SMART CAPNOLINE ADULT NASAL ORAL ETCO2 NONINTUBATED DUAL PURPOSE CI,0200-00351,,272,,,146, -   , -   ,58
870,27203132,27203132,NO FULL DESCRIPTION AVAILABLE,0960-00599,,272,,,381, -   , -   ,152
871,27203133,27203133,HC DUODERM GEL,,,272,A6248,,21, -   , -   ,8
872,27203134,27203134,NO FULL DESCRIPTION AVAILABLE,0960-00600,,272,,,381, -   , -   ,152
873,27203141,27203141,HC DURAHESIVE FLEXIBLE WAFER,,,272,A4390,, -   , -   , -   , -   
874,27203142,27203142,DRILL SURGICAL EVOS MINI SHORT OD1.8 MM AO QUICK CONNECT DISPOSABLE,2950-08619,,272,,,328, -   , -   ,131
875,27203143,27203143,DRILL SURGICAL EVOS MINI OD2.4 MM AO QUICK CONNECT OVER DISPOSABLE,2950-08623,,272,,,328, -   , -   ,131
876,27203145,27203145,DRILL SURGICAL EVOS MINI SHORT OD2 MM AO QUICK CONNECT DISPOSABLE,2950-08624,,272,,,328, -   , -   ,131
877,27203146,27203146,DRILL SURGICAL EVOS MINI OD2.7 MM AO QUICK CONNECT OVER DISPOSABLE,2950-08626,,272,,,328, -   , -   ,131
878,27203148,27203148,DONUT POSITIONING ALIGEL PEDIATRIC D5.5 IN H1.25 IN OD5.5 IN ID2.25 IN 1 LB HEAD,0900-11386,,272,,,336, -   , -   ,134
879,27203149,27203149,CATHETER AIRWAY EXCHANGE L83 CM OD14 FR 2 LUMEN ENDOTRACHEAL TUBES ADAPTER STERI,0200-00360,,272,,,296, -   , -   ,118
880,27203152,27203152,DRILL SURGICAL L191 MM OD2.7 MM,2950-08618,,272,,,373, -   , -   ,149
881,27203158,27203158,HC STOMAHESIVE PASTE,,,272,,, -   , -   , -   , -   
882,27203160,27203160,DRILL SURGICAL LONG OD1.8 MM AO QUICK COUPLING DISPOSABLE,2950-08622,,272,,,402, -   , -   ,161
883,27203161,27203161,DRILL SURGICAL EVOS MINI LONG OD2 MM AO QUICK CONNECT DISPOSABLE,2950-08625,,272,,,402, -   , -   ,161
884,27203164,27203164,HC CATH ARROW FEMORAL ARTERY 20G,,,272,,,"1,164", -   , -   ,466
885,27203165,27203165,BIT DRILL L56 MM OD1.1 MM MINI QUICK COUPLING THREAD HOLE,2950-08597,,272,,,405, -   , -   ,162
886,27203167,27203167,DONUT POSITIONING ALIGEL ADULT D8 IN H1.75 IN OD8 IN ID3 IN HEAD STABILIZE EASY ACCESS,0900-11385,,272,,,412, -   , -   ,165
887,27203171,27203171,DRILL SURGICAL VLP L130 MM OD3.5 MM FOOT,2950-08620,,272,,,433, -   , -   ,173
888,27203172,27203172,HC CATH ARROW RADIAL ARTERY 22G,,,272,,,177, -   , -   ,71
889,27203175,27203175,BALL COTTON OD3/8 IN SURGICAL HIGH ABSORPTION XRAY DETECTABLE TIGHT FIRM COMPOSITION PK/5,0900-11363,,272,,, -   , -   , -   , -   
890,27203179,27203179,CATHETER SPECIMEN RETRIEVAL MULTI-3V L190 CM OD5.5-7 FR ODSEC15 MM BILIARY 3 LUMEN STONE INJECTION ABOVE BALLOON RADIOPAQUE STERILE DISPOSABLE ACCEPTS .035 IN GUIDEWIRE,0300-03251,,272,,,416, -   , -   ,166
891,27203180,27203180,TRAY CATHETER POLYETHYLENE PEDIATRIC .018 IN L8 CM OD3 FR CENTRAL VENOUS 1 LUMEN,0320-00083,,272,,,289, -   , -   ,116
892,27203188,27203188,BIT DRILL L300 MM OD13 MM CANNULATED NONSTERILE,2950-03565,,272,,,"1,283", -   , -   ,513
893,27203190,27203190,HC SUR-FIT FLEXIBLE WAFER,,,272,A5054,,16, -   , -   ,6
894,27203199,27203199,DRILL TWIST SPEEDGUIDE L30 MM OD2.6 MM AO,2950-08664,,272,,,528, -   , -   ,211
895,27203200,27203200,BALL COTTON OD1/8 IN STRUNG XRAY DETECTABLE HIGH ABSORPTION LATEX FREE,0900-11364,,272,,, -   , -   , -   , -   
896,27203201,27203201,BIT DRILL ORTHOLOC L24 MM OD2 MM 3DI TECHNOLOGY DISPOSABLE 2.7 MM SCREW,2950-08629,,272,,,536, -   , -   ,214
897,27203202,27203202,BIT DRILL SALVATION ORTHOLOC OD3.8 MM DISPOSABLE 5.5 MM SCREW,2950-08631,,272,,,536, -   , -   ,214
898,27203207,27203207,BIT DRILL ORTHOLOC L30 MM OD2 MM 3DI TECHNOLOGY DISPOSABLE,2950-08630,,272,,,583, -   , -   ,233
899,27203210,27203210,TOOL SIZING LINX LAPAROSCOPIC,2900-11092,,272,,,587, -   , -   ,235
900,27203212,27203212,BIT DRILL L140 MM OD2 MM QUICK COUPLING DEPTH MARK NONSTERILE,0900-03592,,272,,,447, -   , -   ,179
901,27203213,27203213,HC TRANSEPTAL NEEDLE/SHEATH,,,272,,,"1,828", -   , -   ,731
902,27203214,27203214,CATHETER AIRWAY EXCHANGE AINTREE L56 CM OD19 FR INTUBATION SET STERILE DISPOSABL,0200-00361,,272,,,296, -   , -   ,118
903,27203215,27203215,BLADE CHISEL THK1 MM OFFSET SMALL L27 MM X W8 MM O15,2950-08606,,272,,,505, -   , -   ,202
904,27203218,27203218,BLADE CHISEL THK1 MM STRAIGHT SMALL L68 MM X W12 MM LATERAL R100,2950-08608,,272,,,574, -   , -   ,230
905,27203219,27203219,DRILL SURGICAL CHARLOTTE OD5 MM CANNULATED,2950-08628,,272,,,610, -   , -   ,244
906,27203222,27203222,CATHETER AIRWAY EXCHANGE L83 CM OD19 FR ODSEC7 MM 2 LUMEN ENDOTRACHEAL TUBE ADAP,0200-00362,,272,,,296, -   , -   ,118
907,27203223,27203223,BIT DRILL DART-FIRE OD2.2 MM SCREW SET,2950-08636,,272,,,610, -   , -   ,244
908,27203224,27203224,HC DRESSING WOUND PRISMA,,,272,,,118, -   , -   ,47
909,27203230,27203230,BIT DRILL L135 MM OD2 MM AO SCALE,2950-08665,,272,,,652, -   , -   ,261
910,27203231,27203231,HC SHEATH INTRO 28CM 14FR SENSH1428W,,,272,,,652, -   , -   ,261
911,27203232,27203232,HC DRILL SRG ICONIX 2.3MM DISP 3910-500-569,,,272,,,665, -   , -   ,266
912,27203233,27203233,BIT DRILL OD1.8 MM CANNULATED QUICK CONNECT,2950-08604,,272,,,676, -   , -   ,270
913,27203234,27203234,BIT DRILL ORTHOLOC OD4.4 MM FOOT ANKLE 3DI TECHNOLOGY CONSUMABLE 6.5 MM SCREW 2.5W,2950-08632,,272,,,678, -   , -   ,271
914,27203239,27203239,GUIDEWIRE ENDOSCOPIC NOVAGOLD STRAIGHT L480 CM OD.018 IN BILIARY DISPOSABLE,0300-03250,,272,,,684, -   , -   ,274
915,27203240,27203240,REAMER SURGICAL INBONE OD10 MM TALAR STEM,2950-08633,,272,,,684, -   , -   ,274
916,27203243,27203243,BUTTON SUTURE TIGHTROPE LARGE L20 MM X W5 MM EXTENDER FOOTPRINT,3100-06791,,272,,,733, -   , -   ,293
917,27203248,27203248,DILATOR ENDOSCOPIC ELATION L100 CM L5.5 CM OD18-19-20 MM PULMONARY BALLOON CATHETER,0330-03433,,272,,,733, -   , -   ,293
918,27203250,27203250,DILATOR ENDOSCOPIC ELATION L100 CM L3 CM ODSEC24-27-30 FR PULMONARY CATHETER BALLOON ACCEPTS 2.8 MM WORKING CHANNEL,0330-03435,,272,,,733, -   , -   ,293
919,27203251,27203251,DILATOR ENDOSCOPIC ELATION L100 CM L3 CM OD10-11-12 MM PULMONARY 3 STAGE EXCEPTION BALLOON CATHETER,0330-03436,,272,,,733, -   , -   ,293
920,27203254,27203254,HC OCTOPOLAR / DECAPOLAR CATH,,,272,,,"1,678", -   , -   ,671
921,27203258,27203258,ANCHOR SUTURE KNOTILUS L25 MM LOOP,0740-01247,,272,,,806, -   , -   ,322
922,27203259,27203259,BLOCK CUTTING LEGION TIBIA PROXIMAL VISIONAIRE KNEE SYSTEM,2950-08609,,272,,,815, -   , -   ,326
923,27203262,27203262,HC EPS LONG SHEATH,,,272,C1893,,818, -   , -   ,327
924,27203266,27203266,BIT DRILL L165 MM L135 MM OD4.5 MM CANNULATED STOP STERILE JACOB CHUCK,2950-08594,,272,,,907, -   , -   ,363
925,27203270,27203270,HC INTRA AORTIC BALLOON,,,272,,,"3,708", -   , -   ,"1,483"
926,27203271,27203271,DRILL TWIST SPEEDGUIDE T10 L30 MM 3.5 MM SCREW,2950-08663,,272,,,972, -   , -   ,389
927,27203272,27203272,CATHETER INTERVENTIONAL PROGREAT TERUMO GLIDE TECHNOLOGY TUNGSTEN PTFE MICRO L150 CM L90 CM OD2.8 FR ID.027 IN HEMOSTATIC VALVE SHAPING MANDREL ACCEPTS .021 IN GUIDEWIRE,0370-00067,,272,,,973, -   , -   ,389
928,27203274,27203274,HC BIT DRL 6.5MM CON STP QC STRL 03.019.018S,,,272,,,979, -   , -   ,392
929,27203277,27203277,BIT DRILL OD4 MM CANNULATED STERILE,2950-08605,,272,,,"1,001", -   , -   ,400
930,27203281,27203281,CUTTER ARTHROSCOPIC FLIPCUTTER II OD8 MM ACL PCL DRILL PIN FEMORAL SOCKET HOUSING POSITIONER STERILE LATEX FREE DISPOSABLE BLUE,2950-08647,,272,,,"1,057", -   , -   ,423
931,27203285,27203285,SYSTEM BALLOON DILATATION RELIEVA SPIN PLUS L16 MM OD6 MM MAXILLARY FRONTAL SPHENOID IRRIGATION,2950-08587,,272,,,"1,269", -   , -   ,508
932,27203288,27203288,SCREW INTERFERENCE BIO-COMPRESSION SCREW POLY L LACTIC ACID TAPER L20 MM OD2.7-3.7 MM SMALL BONE CANNULATED SELF COMPRESS THREAD PITCH STERILE,2940-77460,,272,,,"1,285", -   , -   ,514
933,27203290,27203290,CATHETER INFUSION ASAHI CARAVEL ACT ONE HYDROPHILIC L150 CM L85 CM OD.85-.62 MM ODSEC.48 MM ID.55 MM IDSEC.4 MM LOW PROFILE BRAID SHAFT INNER LUMEN TAPER TIP,2800-02173,,272,,,"1,383", -   , -   ,553
934,27203297,27203297,CUFF BLOOD PRESSURE CRITIKON DINAMAP SOFT-CUF ADULT L38-50 CM OD38-50 CM THIGH 2,0200-00404,,272,,, -   , -   , -   , -   
935,27203302,27203302,KIT INSTRUMENT CUT BLOCK PIN DISPOSABLE T3 AMZ,2950-08649,,272,,,"1,624", -   , -   ,650
936,27203303,27203303,BIT DRILL L100 MM OD2 MM QUICK COUPLING CANNULATED NONSTERILE,2950-03483,,272,,,267, -   , -   ,107
937,27203309,27203309,BLADE REAMER X-REAM EXPAND,2950-08634,,272,,,"1,693", -   , -   ,677
938,27203310,27203310,DEVICE SEALING CAIMAN L36 CM OD5 MM JAW ARTICULATE,3100-06782,,272,,,"1,707", -   , -   ,683
939,27203311,27203311,BIT DRILL STAINLESS STEEL L125 MM OD2 MM QUICK COUPLING NONSTERILE,2950-03484,,272,,,281, -   , -   ,112
940,27203314,27203314,NEEDLE BIOPSY ACQUIRE OD19 GA ODSEC1.14 MM ULTRASOUND STERILE LATEX FREE DISPOSABLE,0900-11374,,272,,,"1,789", -   , -   ,716
941,27203316,27203316,KIT SUTURE FIBERLOOP OD3.2 MM DRILL PIN NEEDLE SHOEHORN CANNULA PROXIMAL TENODESIS,0740-01243,,272,,,"2,197", -   , -   ,879
942,27203324,27203324,SEEKER SURGICAL 70 D L17 MM OD6 MM FRONTAL BALLOON,2950-08603,,272,,,"3,086", -   , -   ,"1,234"
943,27203325,27203325,KIT CRYOSURGICAL ICEROD CX VISUAL-ICE PRESICE SMARTCARD 90 D OD1.5 MM PROSTATE NEEDLE SHARP TROCAR TIP NARROW PROFILE SMALL FLEXIBLE TUBE STERILE DISPOSABLE RED,0900-11354,,272,,,"4,066", -   , -   ,"1,626"
944,27203327,27203327,NEEDLE CRYOABLATION ICEPEARL 2.1 CX L 90 D L175 MM OD2.1 MM LOW FRICTION COATED THICK MARK HANDLE ACTIVE ZONE INDICATOR STERILE DISPOSABLE WHITE,0900-11355,,272,,,"4,228", -   , -   ,"1,691"
